worker_id,total_pick,avg_pick_rate,avg_error_rate
W0376,268.0,1.8555555555555554,0.2777777777777778
W0320,477.0,1.2,0.5333333333333333
W0169,258.0,0.9682539682539683,0.36363636363636365
W0423,515.0,0.9260651629072681,0.2631578947368421
W0399,243.0,0.9074074074074076,0.4444444444444444
W0233,519.0,0.8407407407407407,0.1
W0212,575.0,0.8125,0.125
W0101,385.0,0.761904761904762,0.3333333333333333
W0391,382.0,0.7583333333333333,0.26666666666666666
W0102,582.0,0.7543859649122806,0.3157894736842105
W0308,295.0,0.7536507936507936,0.06666666666666667
W0123,627.0,0.7497835497835499,0.2727272727272727
W0298,335.0,0.7373949579831932,0.23529411764705882
W0095,439.0,0.7206349206349206,0.2
W0255,371.0,0.7153846153846154,0.3076923076923077
W0318,428.0,0.6951530612244898,0.2857142857142857
W0223,355.0,0.6904761904761905,0.2857142857142857
W0500,312.0,0.6904761904761905,0.36363636363636365
W0129,892.0,0.6779195011337869,0.25
W0003,502.0,0.671957671957672,0.23809523809523808
W0496,380.0,0.66875,0.1875
W0384,398.0,0.6666666666666667,0.09090909090909091
W0377,376.0,0.6598958333333333,0.3125
W0244,408.0,0.6535714285714286,0.1875
W0205,328.0,0.650925925925926,0.25
W0470,467.0,0.6232048374905518,0.19047619047619047
W0235,486.0,0.62,0.1
W0354,400.0,0.611111111111111,0.25
W0494,422.0,0.6083333333333333,0.3333333333333333
W0236,520.0,0.6017857142857143,0.3
W0352,505.0,0.5902777777777778,0.16666666666666666
W0207,316.0,0.5897435897435898,0.5384615384615384
W0144,432.0,0.5892857142857143,0.375
W0108,614.0,0.5846560846560847,0.23809523809523808
W0099,548.0,0.5841503267973857,0.5294117647058824
W0013,383.0,0.5770089285714286,0.1875
W0201,449.0,0.5641025641025641,0.15384615384615385
W0426,452.0,0.5431372549019609,0.17647058823529413
W0203,304.0,0.5416666666666666,0.3333333333333333
W0295,429.0,0.5294117647058824,0.35294117647058826
W0075,600.0,0.5281385281385281,0.2727272727272727
W0196,360.0,0.5277777777777778,0.25
W0409,525.0,0.5075757575757576,0.13636363636363635
W0462,475.0,0.506578947368421,0.15789473684210525
W0334,358.0,0.5041666666666667,0.25
W0418,534.0,0.5028571428571429,0.25
W0157,396.0,0.4987468671679198,0.18421052631578946
W0268,332.0,0.4958333333333333,0.4375
W0044,686.0,0.4954545454545455,0.25
W0416,306.0,0.4928571428571429,0.42857142857142855
W0451,512.0,0.49196428571428574,0.5
W0241,423.0,0.4705882352941176,0.23529411764705882
W0148,347.0,0.46614583333333337,0.21875
W0261,465.0,0.4652777777777778,0.3333333333333333
W0008,537.0,0.45687134502923976,0.2631578947368421
W0411,278.0,0.45454545454545453,0.09090909090909091
W0291,504.0,0.4444444444444445,0.3
W0267,500.0,0.4411764705882353,0.23529411764705882
W0315,607.0,0.4375,0.3958333333333333
W0392,348.0,0.4361111111111111,0.26666666666666666
W0118,291.0,0.4305555555555556,0.3333333333333333
W0147,460.0,0.4298245614035087,0.3157894736842105
W0240,512.0,0.4248366013071895,0.35294117647058826
W0412,446.0,0.42428571428571427,0.25
W0493,526.0,0.42123015873015873,0.375
W0303,684.0,0.4149305555555555,0.20833333333333334
W0159,514.0,0.41111111111111115,0.43333333333333335
W0193,239.0,0.4111111111111111,0.15384615384615385
W0210,686.0,0.40997023809523814,0.3333333333333333
W0491,451.0,0.4017857142857143,0.14285714285714285
W0151,143.0,0.3968253968253969,0.6666666666666666
W0277,250.0,0.39166666666666666,0.25
W0433,434.0,0.38333333333333336,0.2777777777777778
W0219,446.0,0.38333333333333336,0.3333333333333333
W0059,634.0,0.3758730158730159,0.2
W0379,528.0,0.3738095238095238,0.2857142857142857
W0007,363.0,0.3703703703703704,0.4166666666666667
W0454,400.0,0.3671875,0.1875
W0402,315.0,0.36324786324786323,0.15384615384615385
W0468,456.0,0.35818713450292394,0.3684210526315789
W0299,390.0,0.3549382716049383,0.4444444444444444
W0259,319.0,0.35294117647058826,0.17647058823529413
W0127,502.0,0.3508771929824562,0.3157894736842105
W0459,593.0,0.35,0.35
W0045,490.0,0.3416666666666667,0.2
W0408,267.0,0.33999999999999997,0.2
W0475,339.0,0.33564814814814814,0.2222222222222222
W0224,317.0,0.3333333333333333,0.09090909090909091
W0403,479.0,0.3333333333333333,0.4166666666666667
W0341,655.0,0.3333333333333333,0.2916666666666667
W0040,309.0,0.3292063492063492,0.2
W0455,474.0,0.32894736842105265,0.3684210526315789
W0419,282.0,0.32727272727272727,0.36363636363636365
W0349,598.0,0.326984126984127,0.2857142857142857
W0348,488.0,0.32172619047619044,0.2
W0110,304.0,0.3163265306122449,0.14285714285714285
W0478,580.0,0.31630434782608696,0.2391304347826087
W0336,424.0,0.3161764705882353,0.29411764705882354
W0037,533.0,0.3161764705882353,0.23529411764705882
W0452,448.0,0.3125,0.16666666666666666
W0257,577.0,0.3095238095238095,0.25
W0264,481.0,0.30701754385964913,0.3684210526315789
W0323,344.0,0.30392156862745096,0.35294117647058826
W0420,689.0,0.3021751910640799,0.2222222222222222
W0312,445.0,0.3013392857142857,0.25
