date,total_pick,avg_pick_rate,avg_error_rate
2025-01-01,1221.0,0.12771739130434784,0.1956521739130435
2025-01-02,1036.0,0.0188953488372093,0.23255813953488372
2025-01-03,1416.0,0.2305084745762712,0.22033898305084745
2025-01-04,921.0,0.0,0.15789473684210525
2025-01-05,1287.0,0.07532467532467532,0.16363636363636364
2025-01-06,1294.0,0.06474164133738601,0.2978723404255319
2025-01-07,1145.0,0.0625,0.3333333333333333
2025-01-08,1004.0,0.11280487804878049,0.3048780487804878
2025-01-09,1495.0,0.31859410430839,0.21428571428571427
2025-01-10,774.0,0.0,0.2647058823529412
2025-01-11,1316.0,0.2369565217391304,0.2391304347826087
2025-01-12,1309.0,0.09744444444444443,0.2866666666666667
2025-01-13,986.0,0.0,0.275
2025-01-14,1212.0,0.2844272844272844,0.21621621621621623
2025-01-15,1230.0,0.09565217391304348,0.2608695652173913
2025-01-16,1249.0,0.15848214285714285,0.10416666666666667
2025-01-17,1430.0,0.24884696016771488,0.2830188679245283
2025-01-18,1493.0,0.027868852459016394,0.26229508196721313
2025-01-19,973.0,0.025914634146341462,0.3170731707317073
2025-01-20,1393.0,0.1968888888888889,0.29
2025-01-21,1180.0,0.2315993788819876,0.22826086956521738
2025-01-22,1000.0,0.016666666666666666,0.36904761904761907
2025-01-23,1550.0,0.0853448275862069,0.2413793103448276
2025-01-24,1401.0,0.14,0.28
2025-01-25,1294.0,0.13784461152882205,0.17543859649122806
2025-01-26,1444.0,0.3325113378684807,0.21428571428571427
2025-01-27,1281.0,0.13183421516754848,0.3148148148148148
2025-01-28,860.0,0.048374905517762655,0.2619047619047619
2025-01-29,1215.0,0.12080712788259958,0.25471698113207547
2025-01-30,1516.0,0.20238095238095236,0.30357142857142855
2025-01-31,929.0,0.4408289241622575,0.2916666666666667
2025-02-01,1163.0,0.04628279883381924,0.20408163265306123
2025-02-02,1692.0,0.14184981684981685,0.25384615384615383
2025-02-03,1151.0,0.3988925802879291,0.2558139534883721
2025-02-04,1016.0,0.03170731707317073,0.34146341463414637
2025-02-05,1298.0,0.24856467409658903,0.13829787234042554
2025-02-06,967.0,0.14005847953216377,0.21052631578947367
2025-02-07,1387.0,0.03725490196078431,0.2549019607843137
2025-02-08,1165.0,0.3493506493506493,0.2727272727272727
2025-02-09,878.0,0.13541666666666666,0.2222222222222222
2025-02-10,1352.0,0.09707792207792207,0.3181818181818182
2025-02-11,1105.0,0.20762987012987014,0.25
2025-02-12,1213.0,0.12866876310272535,0.20754716981132076
2025-02-13,1447.0,0.11805555555555555,0.24074074074074073
2025-02-14,882.0,0.15912698412698414,0.3142857142857143
2025-02-15,1388.0,0.11298076923076923,0.23076923076923078
2025-02-16,1191.0,0.0,0.19047619047619047
2025-02-17,1130.0,0.325,0.3375
2025-02-18,1086.0,0.08083333333333334,0.125
2025-02-19,919.0,0.345045045045045,0.2972972972972973
2025-02-20,1405.0,0.40561002178649236,0.37254901960784315
2025-02-21,1396.0,0.0,0.24528301886792453
